time_bucket,total_flights,delay_rate,avg_delay
Afternoon,1703941,25.060842863797543,19.121971141081747
Evening,1303249,31.76867027116705,25.05298250183989
Late Night/Early Morning,179082,9.213144305060341,9.629330018052386
Morning,2287513,14.204686956322075,10.722268013673101
Night,374980,27.6949895814891,21.534210016454864
