day_of_week,total_flights,delay_rate,avg_delay
1,870998,23.347649073161534,18.250979271074602
2,778993,17.968569267439353,13.851290867477543
3,806456,19.467258183097794,14.802253771722134
4,894892,23.630725152929934,18.160700965604264
5,885751,22.983238392526665,17.63926153096622
6,746578,20.385823153997215,15.689539307622567
7,865097,25.131115294713425,19.914648904004714
