origin_airport_id,dest_airport_id,op_unique_carrier,day_of_week,time_bucket,total_flights,delay_rate,cancellation_rate
10135,14082,G4,5,Afternoon,27,33.33333333333333,0.0
10135,14082,G4,5,Evening,1,0.0,0.0
10135,14082,G4,5,Morning,15,6.666666666666667,0.0
10135,14082,G4,6,Afternoon,22,22.727272727272727,0.0
10135,14082,G4,6,Morning,17,0.0,0.0
10135,14082,G4,7,Afternoon,8,42.857142857142854,12.5
10135,14082,G4,7,Evening,1,0.0,0.0
10135,14082,G4,7,Late Night/Early Morning,1,0.0,0.0
10135,14082,G4,7,Morning,18,22.22222222222222,0.0
10135,14112,G4,1,Afternoon,4,25.0,0.0
10135,14112,G4,1,Morning,35,8.571428571428571,0.0
10135,14112,G4,2,Afternoon,6,16.666666666666664,0.0
10135,14112,G4,2,Evening,2,50.0,0.0
10135,14112,G4,2,Morning,6,0.0,0.0
10135,14112,G4,3,Afternoon,1,0.0,0.0
10135,14112,G4,3,Morning,19,5.263157894736842,0.0
10135,14112,G4,4,Afternoon,10,40.0,0.0
10135,14112,G4,4,Evening,8,12.5,0.0
10135,14112,G4,4,Morning,26,12.0,3.8461538461538463
10135,14112,G4,5,Afternoon,4,0.0,0.0
10135,14112,G4,5,Morning,36,2.7777777777777777,0.0
10135,14112,G4,6,Afternoon,9,22.22222222222222,0.0
10135,14112,G4,6,Evening,3,66.66666666666666,0.0
10135,14112,G4,6,Morning,28,14.814814814814813,3.5714285714285716
10135,14112,G4,7,Afternoon,9,22.22222222222222,0.0
10135,14112,G4,7,Evening,7,50.0,14.285714285714286
10135,14112,G4,7,Morning,27,11.11111111111111,0.0
10135,14761,G4,1,Afternoon,37,21.62162162162162,0.0
10135,14761,G4,1,Evening,1,0.0,0.0
10135,14761,G4,1,Morning,42,7.142857142857142,0.0
10135,14761,G4,1,Night,4,50.0,0.0
10135,14761,G4,2,Afternoon,6,0.0,0.0
10135,14761,G4,2,Evening,6,0.0,0.0
10135,14761,G4,2,Morning,31,9.67741935483871,0.0
10135,14761,G4,2,Night,3,33.33333333333333,0.0
10135,14761,G4,3,Afternoon,14,35.714285714285715,0.0
10135,14761,G4,3,Evening,1,0.0,0.0
10135,14761,G4,3,Morning,33,12.121212121212121,0.0
10135,14761,G4,3,Night,5,40.0,0.0
10135,14761,G4,4,Afternoon,26,11.538461538461538,0.0
10135,14761,G4,4,Evening,9,22.22222222222222,0.0
10135,14761,G4,4,Morning,52,9.803921568627452,1.9230769230769231
10135,14761,G4,4,Night,12,83.33333333333334,0.0
10135,14761,G4,5,Afternoon,38,18.421052631578945,0.0
10135,14761,G4,5,Evening,1,0.0,0.0
10135,14761,G4,5,Morning,43,0.0,0.0
10135,14761,G4,5,Night,4,25.0,0.0
10135,14761,G4,6,Afternoon,28,28.57142857142857,0.0
10135,14761,G4,6,Evening,10,11.11111111111111,10.0
10135,14761,G4,6,Morning,51,7.8431372549019605,0.0
10135,14761,G4,6,Night,2,50.0,0.0
10135,14761,G4,7,Afternoon,25,40.0,0.0
10135,14761,G4,7,Evening,9,44.44444444444444,0.0
10135,14761,G4,7,Morning,50,10.0,0.0
