year,month,total_flights,delay_rate,avg_delay,avg_carrier_delay,avg_weather_delay,avg_nas_delay,avg_late_aircraft_delay,avg_security_delay,month_name,year_month
2025,1,539747,18.747313420004392,14.218871884029111,4.651968422242272,1.1671616516627235,2.5601383611210435,4.466461138274044,0.019546194791263315,January,2025 - January
2025,2,504884,20.724894920187587,15.850405659085233,4.9788347422378205,0.9629914990374027,3.301417751404283,5.418098018554757,0.01729902314194944,February,2025 - February
2025,3,600872,19.536020769460006,15.088429700439473,4.596017121783008,0.8191311959951537,3.050240317405371,5.460530695389368,0.017762518473152352,March,2025 - March
2025,4,583950,19.619505522972666,14.563043290118221,4.390069355253019,0.7427399606130662,2.9857299426320747,5.284282900933299,0.025329223392413735,April,2025 - April
2025,5,605648,23.533632346855686,18.162460214132476,4.937792248963094,1.1702391488125115,4.371568964150794,6.375965907589888,0.01870063138985021,May,2025 - May
2025,6,611575,28.14789337347696,22.72292283876478,6.696792707353963,1.4602477210481135,4.426291133548625,8.608226300944283,0.033161917998610145,June,2025 - June
2025,7,631428,28.73781363898337,24.55132332807342,7.091703250410181,1.6748211989332118,4.727756767200694,9.313302545975155,0.024183279803873126,July,2025 - July
2025,8,602378,22.473757960714554,17.533814020780383,5.4025196803336115,1.1389061353502286,3.13318713498833,6.601952594550266,0.02312999478732623,August,2025 - August
2025,9,562439,16.5952108200653,12.052965282056425,3.7964810406106264,0.6148880145224638,2.5008134215443807,4.138717265338997,0.016035516740482078,September,2025 - September
2025,10,605844,20.285908668525156,14.10355902056286,4.395695921722424,0.4290130792745327,2.9634311803038407,5.13926522339084,0.015362040393236543,October,2025 - October
