ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEP_HOUR,total_flights,delay_rate
10135,10693,11,7,0.0
10135,10693,13,1,100.0
10135,11057,5,23,0.0
10135,11057,6,6,0.0
10135,11057,8,1,100.0
10135,11057,13,8,0.0
10135,11057,14,21,4.761904761904762
10135,11057,15,1,100.0
10135,11057,18,18,0.0
10135,11057,19,6,16.666666666666664
10135,11057,20,5,60.0
10135,11292,7,8,0.0
10135,13204,16,7,0.0
10135,13204,17,1,100.0
10135,13360,8,7,0.0
10135,13360,9,1,0.0
10135,13360,17,1,0.0
10135,13577,6,1,0.0
10135,13577,12,16,12.5
10135,13930,12,26,3.8461538461538463
10135,13930,13,3,33.33333333333333
10135,13930,15,1,100.0
10135,14082,15,8,12.5
10135,14082,16,1,100.0
10135,14112,5,7,0.0
10135,14112,6,1,0.0
10135,14112,8,1,0.0
10135,14112,15,7,14.285714285714285
10135,14112,18,1,100.0
10135,14761,5,1,0.0
10135,14761,6,8,0.0
10135,14761,8,9,11.11111111111111
10135,14761,9,2,0.0
10135,14761,10,1,100.0
10135,14761,11,5,0.0
10135,14761,12,1,0.0
10135,14761,14,8,0.0
10135,14761,15,2,50.0
10135,14761,16,2,100.0
10135,14986,8,6,0.0
10135,14986,9,1,100.0
10135,14986,15,1,100.0
10136,11298,5,27,7.4074074074074066
10136,11298,6,8,12.5
10136,11298,7,13,0.0
10136,11298,8,3,66.66666666666666
10136,11298,9,3,100.0
10136,11298,10,28,14.285714285714285
10136,11298,11,3,100.0
10136,11298,13,20,0.0
10136,11298,14,8,75.0
10136,11298,15,2,100.0
10136,11298,18,18,0.0
10136,11298,19,8,62.5
10136,11298,20,2,100.0
10136,11298,23,1,100.0
10140,10397,6,26,0.0
10140,10397,7,4,0.0
10140,10397,11,17,11.76470588235294
10140,10397,13,10,0.0
10140,10397,14,3,33.33333333333333
10140,10397,15,16,0.0
10140,10397,16,1,100.0
10140,10423,5,29,0.0
10140,10423,6,1,100.0
10140,10423,12,4,0.0
10140,10423,13,1,0.0
10140,10423,14,10,10.0
10140,10423,15,11,27.27272727272727
10140,10423,20,1,0.0
10140,10423,21,3,66.66666666666666
10140,10693,12,11,0.0
10140,10693,13,2,50.0
10140,10693,14,12,33.33333333333333
10140,10693,15,4,25.0
10140,10693,17,1,100.0
10140,10800,9,4,0.0
10140,10800,13,4,25.0
10140,10800,14,13,38.46153846153847
10140,10800,15,9,0.0
10140,10821,7,4,0.0
10140,10821,10,3,0.0
10140,10821,11,6,0.0
10140,10821,12,3,33.33333333333333
10140,10821,13,10,50.0
10140,10821,15,4,0.0
10140,11259,4,3,0.0
10140,11259,5,27,0.0
